county,survey_date,avg_rain_3m,survey_round,raw_date,gam_percent,emergency_or_not_emergency,year,month,start_window,end_window,events_3m,fatalities_3m,displaced_3m,price_3m,wasting_binary
Wulu,2022-08-01,125.57607236387862,r28,Aug-22,5.3,No,2022,Aug,2022-05-01,2022-08-01,0,0,0,NA,0
Wulu,2023-07-01,121.67061708651651,r29,Jul-23,7.7,No,2023,Jul,2023-04-01,2023-07-01,4,6,1194,NA,0
Wulu,2024-07-01,95.27429814020168,r30,Jul-24,5.9,No,2024,Jul,2024-04-01,2024-07-01,0,0,0,NA,0
Yambio,2019-07-01,145.03588492431754,r24,Jul-19,10.1,No,2019,Jul,2019-04-01,2019-07-01,0,0,0,NA,0
Yambio,2019-12-01,152.09542234831562,r25,Dec-19,8.5,No,2019,Dec,2019-09-01,2019-12-01,0,0,0,NA,0
Yambio,2020-09-01,186.87243167933656,r26,Sep-20,2.8,No,2020,Sep,2020-06-01,2020-09-01,0,0,0,2349.6406053214746,0
Yambio,2021-10-01,179.4805193676742,r27,Oct-21,2.8,No,2021,Oct,2021-07-01,2021-10-01,0,0,0,2739.139726177648,0
Yambio,2022-08-01,139.96196800230567,r28,Aug-22,4.1,No,2022,Aug,2022-05-01,2022-08-01,0,0,0,2948.732695420806,0
Yambio,2023-07-01,147.3892204433461,r29,Jul-23,21.6,Yes,2023,Jul,2023-04-01,2023-07-01,8,16,50694,6945.40650022136,1
Yambio,2024-07-01,111.55293363107208,r30,Jul-24,7.5,No,2024,Jul,2024-04-01,2024-07-01,0,0,0,8509.670186006646,0
Yei,2019-07-01,140.02543184762217,r24,Jul-19,2.4,No,2019,Jul,2019-04-01,2019-07-01,0,0,0,NA,0
Yei,2019-12-01,166.54823416829385,r25,Dec-19,44.4,Yes,2019,Dec,2019-09-01,2019-12-01,0,0,0,NA,1
Yei,2022-08-01,122.45565852138968,r28,Aug-22,5.6,No,2022,Aug,2022-05-01,2022-08-01,9,5,19705,NA,0
Yei,2023-07-01,133.8072343661402,r29,Jul-23,18.1,Yes,2023,Jul,2023-04-01,2023-07-01,44,11,218059,NA,1
Yei,2024-07-01,110.20338314907896,r30,Jul-24,4.7,No,2024,Jul,2024-04-01,2024-07-01,34,18,159871,NA,0
Yirol East,2019-07-01,90.66689129173284,r24,Jul-19,10.3,No,2019,Jul,2019-04-01,2019-07-01,0,0,0,NA,0
Yirol East,2019-12-01,91.65880246004738,r25,Dec-19,5.8,No,2019,Dec,2019-09-01,2019-12-01,0,0,0,NA,0
Yirol East,2020-09-01,131.63247046950502,r26,Sep-20,8.6,No,2020,Sep,2020-06-01,2020-09-01,0,0,0,NA,0
Yirol East,2021-10-01,123.68586367142774,r27,Oct-21,8.6,No,2021,Oct,2021-07-01,2021-10-01,0,0,0,NA,0
Yirol East,2022-08-01,94.74526928727282,r28,Aug-22,8,No,2022,Aug,2022-05-01,2022-08-01,0,0,0,NA,0
Yirol East,2023-07-01,75.51914918772049,r29,Jul-23,17.4,Yes,2023,Jul,2023-04-01,2023-07-01,17,6,18777,NA,1
Yirol East,2024-07-01,73.51690972249536,r30,Jul-24,6.8,No,2024,Jul,2024-04-01,2024-07-01,38,28,61713,NA,0
Yirol West,2019-07-01,91.04436458624238,r24,Jul-19,17.9,Yes,2019,Jul,2019-04-01,2019-07-01,0,0,0,NA,1
Yirol West,2019-12-01,98.93902852286476,r25,Dec-19,7.1,No,2019,Dec,2019-09-01,2019-12-01,0,0,0,NA,0
Yirol West,2020-09-01,128.9969353095298,r26,Sep-20,10.4,No,2020,Sep,2020-06-01,2020-09-01,0,0,0,NA,0
Yirol West,2021-10-01,134.08127301654883,r27,Oct-21,10.4,No,2021,Oct,2021-07-01,2021-10-01,0,0,0,NA,0
Yirol West,2022-08-01,101.21710195342104,r28,Aug-22,12.7,No,2022,Aug,2022-05-01,2022-08-01,3,0,0,NA,0
Yirol West,2023-07-01,88.55185195858668,r29,Jul-23,8.1,No,2023,Jul,2023-04-01,2023-07-01,25,10,52939,NA,0
Yirol West,2024-07-01,80.1631609830524,r30,Jul-24,11.5,No,2024,Jul,2024-04-01,2024-07-01,8,2,21567,NA,0
Abyei,2019-07-01,NA,r24,Jul-19,15.8,Yes,2019,Jul,2019-04-01,2019-07-01,0,0,0,NA,1
Kajo-keji,2019-07-01,NA,r24,Jul-19,1.5,No,2019,Jul,2019-04-01,2019-07-01,0,0,0,NA,0
Abyei,2019-12-01,NA,r25,Dec-19,19.6,Yes,2019,Dec,2019-09-01,2019-12-01,0,0,0,NA,1
Kajo-keji,2019-12-01,NA,r25,Dec-19,8.3,No,2019,Dec,2019-09-01,2019-12-01,0,0,0,NA,0
Abyei,2020-09-01,NA,r26,Sep-20,17.1,Yes,2020,Sep,2020-06-01,2020-09-01,0,0,0,NA,1
Kajo-keji,2020-09-01,NA,r26,Sep-20,5.6,No,2020,Sep,2020-06-01,2020-09-01,0,0,0,NA,0
Abyei,2021-10-01,NA,r27,Oct-21,17.1,Yes,2021,Oct,2021-07-01,2021-10-01,0,0,0,NA,1
Kajo-keji,2021-10-01,NA,r27,Oct-21,5.6,No,2021,Oct,2021-07-01,2021-10-01,0,0,0,NA,0
Abyei,2022-08-01,NA,r28,Aug-22,13.7,No,2022,Aug,2022-05-01,2022-08-01,0,0,0,NA,0
Kajo-keji,2022-08-01,NA,r28,Aug-22,7.7,No,2022,Aug,2022-05-01,2022-08-01,0,0,0,NA,0
Abyei,2023-07-01,NA,r29,Jul-23,14,No,2023,Jul,2023-04-01,2023-07-01,0,0,0,NA,0
Akoka,2023-07-01,NA,r29,Jul-23,5.2,No,2023,Jul,2023-04-01,2023-07-01,0,0,0,NA,0
Kajo-keji,2023-07-01,NA,r29,Jul-23,15.2,Yes,2023,Jul,2023-04-01,2023-07-01,0,0,0,NA,1
Abyei,2024-07-01,NA,r30,Jul-24,20.5,Yes,2024,Jul,2024-04-01,2024-07-01,0,0,0,NA,1
Akoka,2024-07-01,NA,r30,Jul-24,15,Yes,2024,Jul,2024-04-01,2024-07-01,0,0,0,NA,0
Kajo-keji,2024-07-01,NA,r30,Jul-24,10,No,2024,Jul,2024-04-01,2024-07-01,0,0,0,NA,0
Abiemnhom,2025-07-01,NA,r31,Jul-25,17.6,Yes,2025,Jul,2025-04-01,2025-07-01,15,75,142996,NA,1
Abyei,2025-07-01,NA,r31,Jul-25,14.6,No,2025,Jul,2025-04-01,2025-07-01,0,0,0,NA,0
Akobo,2025-07-01,NA,r31,Jul-25,22.9,Yes,2025,Jul,2025-04-01,2025-07-01,39,42,175349,49802.75379651511,1
Akoka,2025-07-01,NA,r31,Jul-25,26.3,Yes,2025,Jul,2025-04-01,2025-07-01,0,0,0,NA,1
Aweil Centre,2025-07-01,NA,r31,Jul-25,9.2,No,2025,Jul,2025-04-01,2025-07-01,0,0,0,31833.525495013066,0
Aweil East,2025-07-01,NA,r31,Jul-25,15.3,Yes,2025,Jul,2025-04-01,2025-07-01,3,7,5463,20536.275455892992,1
Aweil North,2025-07-01,NA,r31,Jul-25,53.3,Yes,2025,Jul,2025-04-01,2025-07-01,11,4,17212,23419.216921196457,1
Aweil South,2025-07-01,NA,r31,Jul-25,34.2,Yes,2025,Jul,2025-04-01,2025-07-01,0,0,0,NA,1
Aweil West,2025-07-01,NA,r31,Jul-25,13.6,No,2025,Jul,2025-04-01,2025-07-01,7,9,16272,24481.854057238095,0
